uniprot_id,gene,length,llps_score,prediction,in_training
P61978,HNRNPK,463,0.967,LLPS+,train
A0A2R8Y4L2,HNRNPA1L3,320,0.9581,LLPS+,novel
P61964,WDR5,334,0.914,LLPS+,test
P61962,DCAF7,342,0.9113,LLPS+,novel
P61968,LMO4,165,0.9046,LLPS+,novel
A6NNH2,FAM90A27P,459,0.9025,LLPS+,novel
P09630,HOXC6,235,0.901,LLPS+,novel
P62633,CNBP,177,0.8909,LLPS+,novel
A0A1W2PR48,TLE7,441,0.8889,LLPS+,novel
A0A1W2PPF3,DUXB,345,0.8789,LLPS+,novel
P07316,CRYGB,175,0.8725,LLPS+,novel
A0A8V8TNH8,FAM90A11,464,0.8595,LLPS+,novel
A0A8V8TPE2,FAM90A3,464,0.8567,LLPS+,novel
A0A494C086,SPDYE21,402,0.8543,LLPS+,novel
P62068,USP46,366,0.8509,LLPS+,novel
A6NL46,,340,0.8454,LLPS+,novel
P62487,POLR2G,172,0.8438,LLPS+,novel
P62314,SNRPD1,119,0.8388,LLPS+,train
Q8N9G6,,341,0.825,LLPS+,novel
P62081,RPS7,194,0.8203,LLPS+,novel
P62308,SNRPG,76,0.8201,LLPS+,novel
A0A3B3IT33,TRIM51G,452,0.8098,LLPS+,novel
P62495,ETF1,437,0.807,LLPS+,train
A0A8I5KY20,CCDC92B,255,0.8068,LLPS+,novel
A0A1W2PPK0,CPHXL2,400,0.7963,LLPS+,novel
A0A3B3IT52,MSANTD5,213,0.7953,LLPS+,novel
Q5TEZ5,C6orf163,329,0.7798,LLPS+,novel
Q5PR19,,223,0.7784,LLPS+,novel
Q53H64,ANKRD40CL,114,0.7732,LLPS+,novel
P62310,LSM3,102,0.7651,LLPS+,novel
A0A1W2PQ73,ERFL,354,0.765,LLPS+,novel
A0A1W2PRP0,FOXL3,233,0.7634,LLPS+,novel
A0A5F9ZHS7,NFILZ,289,0.7611,LLPS+,novel
P62304,SNRPE,92,0.7601,LLPS+,novel
P62380,TBPL1,186,0.754,LLPS+,novel
A0A494C0Z2,SPDYE13,265,0.7535,LLPS+,novel
P61956,SUMO2,95,0.753,LLPS+,novel
A6NCS6,C2orf72,295,0.75,LLPS+,novel
Q6ZR54,,194,0.7446,LLPS+,novel
A0A494C191,SPDYE9,265,0.7444,LLPS+,novel
A0A1W2PQ72,MSANTD7,361,0.7426,LLPS+,novel
A0A1W2PQL4,ZNF722,384,0.7378,LLPS+,novel
A6NJI1,C11orf86,115,0.735,LLPS+,novel
P62244,RPS15A,130,0.7345,LLPS+,novel
A0A494C0Y3,FAM246A,232,0.7269,LLPS+,novel
A0A494C0N9,FAM246B,232,0.7246,LLPS+,novel
Q6ZRN7,,208,0.721,LLPS+,novel
Q8N1X5,,172,0.7181,LLPS+,novel
Q6ZQT7,,251,0.7118,LLPS+,novel
P62249,RPS16,146,0.6966,LLPS+,novel
A1L170,C1orf226,272,0.6904,LLPS+,novel
A1A4G5,LNP1,178,0.683,LLPS+,novel
Q8N6U2,LINC00612,182,0.6828,LLPS+,novel
Q8N9P0,,234,0.6757,LLPS+,novel
A0A1W2PR75,SSU72L6,194,0.6705,LLPS+,novel
Q9Y4M8,LINC00588,146,0.6702,LLPS+,novel
P62136,PPP1CA,330,0.6668,LLPS+,novel
Q8NAQ8,,132,0.666,LLPS+,novel
P62318,SNRPD3,126,0.6642,LLPS+,novel
A0A1W2PPE3,C1orf202,182,0.6615,LLPS+,novel
Q5SY85,FAM201A,155,0.6612,LLPS+,novel
Q499Y3,,187,0.6575,LLPS+,novel
A6NHR8,FAM47DP,397,0.6559,LLPS+,novel
A0A286YF58,TMEM271,385,0.6547,LLPS+,novel
P13985,HRES1,223,0.6538,LLPS+,novel
Q8NGU9,GPR150,434,0.6484,LLPS+,novel
Q8N7H1,LINC01465,131,0.6475,LLPS+,novel
Q8N9X3,LINC01356,169,0.6438,LLPS+,novel
Q0VFX4,,171,0.642,LLPS+,novel
P62316,SNRPD2,118,0.642,LLPS+,novel
Q2M2D7,TBC1D28,210,0.6417,LLPS+,novel
Q8NBF4,,154,0.6402,LLPS+,novel
Q6ZR03,,302,0.6317,LLPS+,novel
P59020,DSCR9,149,0.631,LLPS+,novel
A0A2R8Y2Y2,C8orf90,192,0.6309,LLPS+,novel
A0A6I8PU40,TUG1,153,0.6301,LLPS+,novel
A0A1W2PR95,IGBP1C,340,0.6298,LLPS+,novel
Q8N6K4,,173,0.6276,LLPS+,novel
A6NF36,CCDC182,153,0.6259,LLPS+,novel
P01189,POMC,267,0.625,LLPS+,novel
Q8N2B8,,174,0.6249,LLPS+,novel
A6NJI9,LRRC72,287,0.6225,LLPS+,novel
Q9H8V8,,135,0.6212,LLPS+,novel
P62191,PSMC1,440,0.6182,LLPS+,novel
Q8N9P6,C9orf163,203,0.6176,LLPS+,novel
A4D1N5,,150,0.6153,LLPS+,novel
P62736,ACTA2,377,0.6106,LLPS+,novel
Q6ZR85,C17orf107,190,0.6102,LLPS+,novel
Q6ZRG5,,221,0.6071,LLPS+,novel
A0A494C1I1,SMIM48,119,0.6018,LLPS+,novel
A0A1W2PQ27,SSU72L1,194,0.6004,LLPS+,novel
A1L429,GAGE12B,117,0.599,LLPS+,novel
Q6ZPA2,,131,0.5971,LLPS+,novel
A0A1W2PQJ5,SSU72L3,194,0.5969,LLPS+,novel
A0A1W2PQC6,SSU72L4,194,0.5964,LLPS+,novel
Q1RN00,NECTIN3-AS1,199,0.5953,LLPS+,novel
Q8N3U1,,123,0.5926,LLPS+,novel
P62195,PSMC5,406,0.5916,LLPS+,novel
Q9H7T3,C10orf95,257,0.5892,LLPS+,novel
Q8NA96,,180,0.5873,LLPS+,novel
P62140,PPP1CB,327,0.5853,LLPS+,novel
A0A1W2PQ64,SSU72L5,194,0.5841,LLPS+,novel
A1L162,ERICH2,156,0.5837,LLPS+,novel
Q8N616,LINC00311,119,0.5823,LLPS+,novel
Q6ZMV7,LEKR1,132,0.5816,LLPS+,novel
P62258,YWHAE,255,0.5784,LLPS+,novel
Q14695,KIAA0087,138,0.5765,LLPS+,novel
Q9BZA0,TTTY10,68,0.5747,LLPS+,novel
P62256,UBE2H,183,0.5739,LLPS+,novel
A1L4Q6,,167,0.5714,LLPS+,novel
Q5T7N8,FAM27D1,215,0.5683,LLPS+,novel
Q8NGN1,OR6T1,323,0.5667,LLPS+,novel
Q8NH06,OR1P1,330,0.5652,LLPS+,novel
A0A7I2V3R4,RNF228,345,0.5639,LLPS+,novel
Q6UXV3,UNQ6126/PRO20091,157,0.5628,LLPS+,novel
A4D250,BLACE,179,0.5623,LLPS+,novel
Q6UXR8,UNQ6493/PRO21345,122,0.56,LLPS+,novel
P01344,IGF2,180,0.5587,LLPS+,novel
Q8NGN0,OR4D5,318,0.5584,LLPS+,novel
P01350,GAST,101,0.5568,LLPS+,novel
Q8NGI7,OR10V1,309,0.5524,LLPS+,novel
A0PJX8,TMEM82,343,0.552,LLPS+,novel
Q8N4M7,C10orf126,172,0.5489,LLPS+,novel
P0DP71,FAM236C,79,0.5489,LLPS+,novel
Q8NGY0,OR10X1,326,0.5445,LLPS+,novel
Q8NHK3,KIR2DL5B,375,0.5442,LLPS+,novel
Q9H1L0,MIR1-1HG,117,0.5441,LLPS+,novel
Q8N976,,141,0.544,LLPS+,novel
Q8N2C9,UMODL1-AS1,162,0.5439,LLPS+,novel
Q8NGC3,OR10G2,310,0.5434,LLPS+,novel
Q8NH09,OR8S1,359,0.5399,LLPS+,novel
Q52M75,LINC01554,96,0.5396,LLPS+,novel
Q8NGF6,OR10W1,305,0.538,LLPS+,novel
Q8N814,,137,0.5378,LLPS+,novel
Q8NGL9,OR4C16,310,0.537,LLPS+,novel
Q8NGE8,OR4D9,314,0.5361,LLPS+,novel
A0A0B4J275,TRAV17,112,0.5353,LLPS+,novel
Q8NGI6,OR4D10,311,0.5334,LLPS+,novel
P01213,PDYN,254,0.5333,LLPS+,novel
Q6ZRM9,,215,0.533,LLPS+,novel
Q8NAE3,LINC01555,123,0.5329,LLPS+,novel
Q6AWC8,,147,0.5327,LLPS+,novel
